id,domaine,sous_type,niveau_1_5,temps_conseille_sec,mode_reponse,consigne_examinateur,stimulus,choix_A,choix_B,choix_C,choix_D,reponse_attendue,explication_correction,bareme,construct_cible,tags,source_cadre,avertissement
CV-033,Compréhension verbale,Compréhension et jugement,2,45,QCM,"Choisissez la réponse qui préserve le mieux la rigueur, l'éthique et la qualité de la situation.","Si une consigne est ambiguë pendant un test d'entrée non clinique, que faut-il faire avant de répondre ?",Répondre au hasard pour gagner du temps,Demander une clarification standardisée ou relire la consigne prévue,Modifier soi-même la règle,Chercher la réponse chez un autre candidat,B,Clarifier la consigne protège la comparabilité des réponses.,"1 point si réponse exacte, 0 sinon.",Jugement verbal et compréhension sociale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-034,Compréhension verbale,Compréhension et jugement,3,45,QCM,"Choisissez la réponse qui préserve le mieux la rigueur, l'éthique et la qualité de la situation.",Pourquoi documenter les décisions importantes dans un projet ?,Pour rendre le projet plus lent sans raison,Pour éviter toute responsabilité,Pour cacher les changements,"Pour permettre traçabilité, cohérence et contrôle ultérieur",D,La traçabilité permet de comprendre pourquoi une décision a été prise et de la vérifier.,"1 point si réponse exacte, 0 sinon.",Jugement verbal et compréhension sociale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-035,Compréhension verbale,Compréhension et jugement,4,45,QCM,"Choisissez la réponse qui préserve le mieux la rigueur, l'éthique et la qualité de la situation.",Pourquoi séparer les données personnelles des scores dans une application de test ?,Pour limiter les risques d'identification et améliorer la confidentialité,Pour rendre les scores faux,Pour empêcher toute suppression de données,Pour publier les identités plus facilement,A,La minimisation et la séparation des données réduisent les risques de confidentialité.,"1 point si réponse exacte, 0 sinon.",Jugement verbal et compréhension sociale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-036,Compréhension verbale,Compréhension et jugement,2,45,QCM,"Choisissez la réponse qui préserve le mieux la rigueur, l'éthique et la qualité de la situation.",Pourquoi proposer un exemple d'entraînement avant une tâche nouvelle ?,Pour donner la réponse aux items notés,Pour décourager le participant,Pour vérifier la compréhension de la règle sans influencer les réponses notées,Pour changer la difficulté au hasard,C,L'exemple d'entraînement standardise la compréhension de la mécanique.,"1 point si réponse exacte, 0 sinon.",Jugement verbal et compréhension sociale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-037,Compréhension verbale,Compréhension et jugement,4,45,QCM,"Choisissez la réponse qui préserve le mieux la rigueur, l'éthique et la qualité de la situation.",Pourquoi éviter d'annoncer 'tu es surdoué' après un court test d'application ?,Parce que les compliments sont toujours interdits,Parce qu'un mini-test non étalonné ne permet pas un diagnostic ou un QI clinique,Parce qu'aucun test ne mesure jamais rien,Parce qu'un score brut suffit toujours à diagnostiquer,B,"Sans normes, validité et passation clinique, un résultat reste indicatif, pas diagnostique.","1 point si réponse exacte, 0 sinon.",Jugement verbal et compréhension sociale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-038,Compréhension verbale,Compréhension et jugement,3,45,QCM,"Choisissez la réponse qui préserve le mieux la rigueur, l'éthique et la qualité de la situation.",Pourquoi chronométrer de façon identique tous les utilisateurs dans une tâche de vitesse ?,Pour favoriser celui qui connaît l'examinateur,Pour rendre la tâche moins comparable,Pour changer les règles pendant la passation,Pour standardiser les conditions et rendre les scores bruts comparables,D,Une contrainte de temps différente change le construit mesuré.,"1 point si réponse exacte, 0 sinon.",Jugement verbal et compréhension sociale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-039,Compréhension verbale,Compréhension et jugement,3,45,QCM,"Choisissez la réponse qui préserve le mieux la rigueur, l'éthique et la qualité de la situation.",Pourquoi proposer une pause lorsqu'un participant montre des signes de fatigue marquée ?,Pour préserver la qualité de la réponse et éviter une mesure contaminée par l'épuisement,Pour augmenter la difficulté secrètement,Pour annuler toutes les consignes,Pour transformer le test en diagnostic médical,A,La fatigue peut réduire l'attention et fausser l'interprétation d'un score brut.,"1 point si réponse exacte, 0 sinon.",Jugement verbal et compréhension sociale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-040,Compréhension verbale,Compréhension et jugement,3,45,QCM,"Choisissez la réponse qui préserve le mieux la rigueur, l'éthique et la qualité de la situation.",Pourquoi l'examinateur ne doit-il pas aider pendant un item noté ?,Pour rendre l'expérience désagréable,Parce que parler est toujours interdit,Parce que l'aide change la difficulté et compromet la validité de la réponse,Parce qu'une bonne réponse doit être punie,C,L'assistance pendant l'item modifie ce qui est mesuré.,"1 point si réponse exacte, 0 sinon.",Jugement verbal et compréhension sociale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-041,Raisonnement visuo-spatial,Transformations mentales,2,50,QCM,Résolvez mentalement la transformation spatiale. Les lignes augmentent de haut en bas; les colonnes de gauche à droite.,"Sur une grille 5x5, le point est en (ligne 2, colonne 1). On le reflète par rapport à l'axe vertical central (colonne 3). Quelle est sa nouvelle position ?","(2,2)","(2,3)","(2,5)","(4,1)",C,La colonne 1 devient la colonne 5; la ligne reste 2.,"1 point si réponse exacte, 0 sinon.","Rotation, symétrie et repérage spatial",,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-042,Raisonnement visuo-spatial,Transformations mentales,3,50,QCM,Résolvez mentalement la transformation spatiale. Les lignes augmentent de haut en bas; les colonnes de gauche à droite.,"Une flèche ↑ subit une rotation de 90° dans le sens horaire, puis une symétrie haut/bas. Quelle direction finale ?",↑,→,↓,←,B,↑ tourné de 90° horaire devient →; un miroir haut/bas ne change pas une flèche horizontale.,"1 point si réponse exacte, 0 sinon.","Rotation, symétrie et repérage spatial",,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-043,Raisonnement visuo-spatial,Transformations mentales,2,50,QCM,Résolvez mentalement la transformation spatiale. Les lignes augmentent de haut en bas; les colonnes de gauche à droite.,"Départ en B2 sur une grille A-D / 1-4. Déplacements: droite, droite, bas, gauche, haut. Case finale ?",B2,C2,C3,D3,B,B2 → C2 → D2 → D3 → C3 → C2.,"1 point si réponse exacte, 0 sinon.","Rotation, symétrie et repérage spatial",,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-044,Raisonnement visuo-spatial,Transformations mentales,3,50,QCM,Résolvez mentalement la transformation spatiale. Les lignes augmentent de haut en bas; les colonnes de gauche à droite.,"Sur une grille 4x4, un carré occupe (1,2). Après rotation de 180° autour du centre de la grille, où se trouve-t-il ?","(1,3)","(2,1)","(3,2)","(4,3)",D,"Dans une grille 4x4, la rotation 180° transforme (r,c) en (5-r, 5-c), donc (4,3).","1 point si réponse exacte, 0 sinon.","Rotation, symétrie et repérage spatial",,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-045,Raisonnement visuo-spatial,Transformations mentales,4,50,QCM,Résolvez mentalement la transformation spatiale. Les lignes augmentent de haut en bas; les colonnes de gauche à droite.,"Une forme en L occupe dans un carré 2x2 les cases (1,1), (2,1), (2,2). Après rotation 90° horaire, quelles cases sont occupées ?","(1,1), (1,2), (2,1)","(1,2), (2,1), (2,2)","(1,1), (1,2), (2,2)","(1,1), (2,1), (2,2)",A,"Rotation 90° horaire dans 2x2: (r,c) devient (c,3-r).","1 point si réponse exacte, 0 sinon.","Rotation, symétrie et repérage spatial",,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-046,Raisonnement visuo-spatial,Transformations mentales,4,50,QCM,Résolvez mentalement la transformation spatiale. Les lignes augmentent de haut en bas; les colonnes de gauche à droite.,"Un segment va de (2,1) à (2,4) dans une grille 4x4. Après réflexion sur la diagonale principale (ligne=colonne), où va-t-il ?","De (2,1) à (2,4)","De (1,3) à (4,3)","De (1,2) à (4,2)","De (3,1) à (3,4)",C,"La réflexion sur la diagonale échange ligne et colonne: (2,1)→(1,2), (2,4)→(4,2).","1 point si réponse exacte, 0 sinon.","Rotation, symétrie et repérage spatial",,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-047,Raisonnement visuo-spatial,Transformations mentales,2,50,QCM,Résolvez mentalement la transformation spatiale. Les lignes augmentent de haut en bas; les colonnes de gauche à droite.,Une flèche ↗ est tournée de 90° dans le sens antihoraire. Quelle direction obtient-on ?,↗,↘,↙,↖,D,↗ tourné de 90° antihoraire pointe vers ↖.,"1 point si réponse exacte, 0 sinon.","Rotation, symétrie et repérage spatial",,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-048,Raisonnement visuo-spatial,Transformations mentales,5,50,QCM,Résolvez mentalement la transformation spatiale. Les lignes augmentent de haut en bas; les colonnes de gauche à droite.,"Dans une grille 5x5, un motif a pour centre (3,3) et un point en (1,4). Après rotation 90° horaire autour du centre, où va ce point ?","(2,1)","(4,5)","(5,2)","(1,2)",B,"Par rapport au centre, (1,4) a déplacement (-2,+1). Rotation horaire: (+1,+2), donc (4,5).","1 point si réponse exacte, 0 sinon.","Rotation, symétrie et repérage spatial",,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-049,Raisonnement visuo-spatial,Transformations mentales,4,50,QCM,Résolvez mentalement la transformation spatiale. Les lignes augmentent de haut en bas; les colonnes de gauche à droite.,"Une pièce occupe (1,1), (1,2), (2,2), (3,2) dans une grille 3x3. Après réflexion gauche/droite, quelles cases sont occupées ?","(1,2), (1,3), (2,2), (3,2)","(1,1), (2,1), (2,2), (2,3)","(1,1), (1,2), (2,1), (3,1)","(1,2), (2,2), (3,2), (3,3)",A,"Dans une grille 3x3, la colonne c devient 4-c; les colonnes 1 et 2 deviennent 3 et 2.","1 point si réponse exacte, 0 sinon.","Rotation, symétrie et repérage spatial",,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-050,Raisonnement visuo-spatial,Transformations mentales,3,50,QCM,Résolvez mentalement la transformation spatiale. Les lignes augmentent de haut en bas; les colonnes de gauche à droite.,On regarde une horloge dans un miroir vertical. L'aiguille qui pointe vers 2 semble pointer vers quelle heure ?,2,4,10,8,C,Le miroir vertical inverse gauche/droite: 2 heures se reflète en 10 heures.,"1 point si réponse exacte, 0 sinon.","Rotation, symétrie et repérage spatial",,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-051,Raisonnement visuo-spatial,Patrons de cube,3,60,QCM,Imaginez le pliage du patron de cube. Indiquez la face opposée à celle demandée.,"Patron en croix: centre=Rouge, haut=Bleu, bas=Vert, gauche=Jaune, droite=Noir, case sous le bas=Blanc. Quelle face est opposée au Rouge ?",Bleu,Vert,Jaune,Blanc,D,"Dans ce patron, le centre est opposé à la case extérieure sous le bas.","1 point si réponse exacte, 0 sinon.",Pliage mental et relations 3D,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-052,Raisonnement visuo-spatial,Patrons de cube,3,60,QCM,Imaginez le pliage du patron de cube. Indiquez la face opposée à celle demandée.,"Même patron en croix: centre=1, haut=2, bas=3, gauche=4, droite=5, case sous le bas=6. Quelle face est opposée à 2 ?",1,4,3,6,C,La face du haut et la face du bas deviennent opposées.,"1 point si réponse exacte, 0 sinon.",Pliage mental et relations 3D,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-053,Raisonnement visuo-spatial,Patrons de cube,3,60,QCM,Imaginez le pliage du patron de cube. Indiquez la face opposée à celle demandée.,"Même patron en croix: centre=A, haut=B, bas=C, gauche=D, droite=E, case sous le bas=F. Quelle face est opposée à D ?",A,E,B,F,B,Les faces gauche et droite du centre sont opposées.,"1 point si réponse exacte, 0 sinon.",Pliage mental et relations 3D,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-054,Raisonnement visuo-spatial,Patrons de cube,4,60,QCM,Imaginez le pliage du patron de cube. Indiquez la face opposée à celle demandée.,Patron en ligne: A-B-C-D en rangée; E au-dessus de B; F au-dessous de B. Quelle face est opposée à B ?,A,C,E,D,D,"Dans ce patron, B est la face avant et D devient la face arrière, donc opposée.","1 point si réponse exacte, 0 sinon.",Pliage mental et relations 3D,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-055,Raisonnement visuo-spatial,Patrons de cube,3,60,QCM,Imaginez le pliage du patron de cube. Indiquez la face opposée à celle demandée.,Patron en ligne: A-B-C-D; E au-dessus de B; F au-dessous de B. Quelle face est opposée à E ?,A,B,F,D,C,E et F se replient en haut et bas: elles sont opposées.,"1 point si réponse exacte, 0 sinon.",Pliage mental et relations 3D,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-056,Raisonnement visuo-spatial,Patrons de cube,4,60,QCM,Imaginez le pliage du patron de cube. Indiquez la face opposée à celle demandée.,Patron en ligne: A-B-C-D; E au-dessus de B; F au-dessous de B. Quelle face est opposée à A ?,B,C,D,F,B,"A et C deviennent les faces gauche et droite, donc opposées.","1 point si réponse exacte, 0 sinon.",Pliage mental et relations 3D,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-057,Raisonnement visuo-spatial,Patrons de cube,3,60,QCM,Imaginez le pliage du patron de cube. Indiquez la face opposée à celle demandée.,"Patron en croix: centre=Lune, haut=Étoile, bas=Soleil, gauche=Nuage, droite=Pluie, case sous le bas=Vent. Quelle face est opposée à Soleil ?",Lune,Étoile,Vent,Pluie,B,Le haut et le bas de la croix deviennent des faces opposées.,"1 point si réponse exacte, 0 sinon.",Pliage mental et relations 3D,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-058,Raisonnement visuo-spatial,Patrons de cube,4,60,QCM,Imaginez le pliage du patron de cube. Indiquez la face opposée à celle demandée.,"Patron en croix: centre=M, haut=N, bas=O, gauche=P, droite=Q, case sous le bas=R. Si M est devant, quelle face est derrière ?",N,O,P,R,D,La case extérieure R se replie à l'arrière de M.,"1 point si réponse exacte, 0 sinon.",Pliage mental et relations 3D,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-059,Raisonnement visuo-spatial,Patrons de cube,4,60,QCM,Imaginez le pliage du patron de cube. Indiquez la face opposée à celle demandée.,"Patron en ligne: 1-2-3-4; 5 au-dessus de 2; 6 au-dessous de 2. Si 2 est devant et 5 est dessus, quelle face est à droite ?",1,4,3,6,C,"Avec 2 devant, 3 se replie à droite, 1 à gauche, 4 derrière.","1 point si réponse exacte, 0 sinon.",Pliage mental et relations 3D,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-060,Raisonnement visuo-spatial,Patrons de cube,5,60,QCM,Imaginez le pliage du patron de cube. Indiquez la face opposée à celle demandée.,"Patron en croix: centre=C, haut=H, bas=B, gauche=G, droite=D, extérieur sous B=X. Quelles paires sont toutes opposées ?","C-X, H-B, G-D","C-H, B-X, G-D","C-D, H-X, G-B","C-G, H-D, B-X",A,"Les trois paires opposées du patron en croix sont centre/extérieur, haut/bas, gauche/droite.","1 point si réponse exacte, 0 sinon.",Pliage mental et relations 3D,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-061,Raisonnement visuo-spatial,Pliage mental,3,60,QCM,"Imaginez la feuille quadrillée, le pliage puis le dépliage. Répondez par les coordonnées des trous.","Feuille 4x4. Pli vertical: colonne 1 sur 4, colonne 2 sur 3. On perce en (ligne 2, colonne 3) sur la feuille pliée. Après dépliage ?","(2,3) seulement","(2,2) et (2,3)","(1,3) et (4,3)","(2,1) et (2,4)",B,La colonne 3 se superpose à la colonne 2.,"1 point si réponse exacte, 0 sinon.",Symétrie et imagerie mentale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-062,Raisonnement visuo-spatial,Pliage mental,3,60,QCM,"Imaginez la feuille quadrillée, le pliage puis le dépliage. Répondez par les coordonnées des trous.","Feuille 4x4. Pli horizontal: ligne 1 sur 4, ligne 2 sur 3. On perce en (ligne 3, colonne 1). Après dépliage ?","(3,1) seulement","(1,1) et (4,1)","(2,1) et (3,1)","(2,4) et (3,4)",C,La ligne 3 se superpose à la ligne 2.,"1 point si réponse exacte, 0 sinon.",Symétrie et imagerie mentale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-063,Raisonnement visuo-spatial,Pliage mental,4,60,QCM,"Imaginez la feuille quadrillée, le pliage puis le dépliage. Répondez par les coordonnées des trous.","Feuille 4x4. Pli vertical puis horizontal. On perce la case pliée correspondant à (ligne 3, colonne 3). Après dépliage ?","(2,2), (2,3), (3,2), (3,3)","(1,1), (1,4), (4,1), (4,4)","(3,3) seulement","(1,3), (2,3), (3,3), (4,3)",A,Les deux plis créent les quatre positions miroir autour du centre.,"1 point si réponse exacte, 0 sinon.",Symétrie et imagerie mentale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
